trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-66.3654807944539,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.95701870213593,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.55174031545707,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.71207756884705,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-61.35573333216535,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.68284302911908,"{0: 11, 1: 5, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.69493482078911,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.0423196852612,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.26576313812835,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.33086510733621,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.72859334774348,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.99796483640995,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,21,-48.44333119558151,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,8,-81.44061732270976,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-75.7327243384793,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-270.9658809250739,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 5}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.99430105717015,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-140.185381135523,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-186.41032257845274,"{0: 13, 1: 0, 2: 8, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.194186684242894,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-131.74124731289334,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-57.00203720115852,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-97.41231478636627,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-234.93000513073403,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 5}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-39.129492177211965,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.30427725473298,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.4955093864248,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-127.98230560885352,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-189.59420759116028,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.28420562685297,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
